event_id,hit_second_leg,first_hit_minute,final_opposite_prob,first_leg_wins_if_unhedged,pnl_per_contract
sim_000261,False,,0.611013836767145,False,-0.4
sim_000262,False,,0.6552092897878263,True,0.6
sim_000263,False,,0.6109495135874013,True,0.6
sim_000264,False,,0.5690881992434939,True,0.6
sim_000265,False,,0.7031940383264731,True,0.6
sim_000266,False,,0.608522300975952,False,-0.4
sim_000267,False,,0.5365519584294622,True,0.6
sim_000268,False,,0.6552724828336763,False,-0.4
sim_000269,False,,0.577648139530919,False,-0.4
sim_000270,False,,0.6242570757025966,False,-0.4
sim_000271,False,,0.7115569784513108,False,-0.4
sim_000272,False,,0.5482640717891614,True,0.6
sim_000273,False,,0.5240024859084205,True,0.6
sim_000274,False,,0.6049460674212077,False,-0.4
sim_000275,False,,0.6118443762905705,False,-0.4
sim_000276,False,,0.5995778792087291,False,-0.4
sim_000277,False,,0.6363398548214624,False,-0.4
sim_000278,False,,0.6249425442228047,False,-0.4
sim_000279,False,,0.5777263125193268,True,0.6
sim_000280,False,,0.511604251791477,True,0.6
sim_000281,False,,0.699637568886659,True,0.6
sim_000282,False,,0.6000025758594485,False,-0.4
sim_000283,False,,0.6054694336172548,False,-0.4
sim_000284,False,,0.6209481530086871,False,-0.4
sim_000285,False,,0.5901527713723816,False,-0.4
sim_000286,False,,0.6935130731348934,False,-0.4
sim_000287,False,,0.5913817259239208,False,-0.4
sim_000288,False,,0.6219377223887239,False,-0.4
sim_000289,False,,0.7041839718561022,False,-0.4
sim_000290,False,,0.647715598737641,True,0.6
sim_000291,False,,0.5356435904063345,False,-0.4
sim_000292,False,,0.5986168777900723,False,-0.4
sim_000293,False,,0.5867048778218314,True,0.6
sim_000294,False,,0.5852263712417319,True,0.6
sim_000295,False,,0.5565602752222323,False,-0.4
sim_000296,False,,0.5811864942081557,True,0.6
sim_000297,False,,0.5447303503514169,True,0.6
sim_000298,False,,0.5238894356882715,True,0.6
sim_000299,False,,0.638196617491564,False,-0.4
sim_000300,False,,0.6146393642439743,False,-0.4
sim_000301,False,,0.5802557541015794,False,-0.4
sim_000302,False,,0.6754889550810572,False,-0.4
sim_000303,False,,0.6151419819099652,True,0.6
sim_000304,False,,0.5498724942457686,False,-0.4
sim_000305,False,,0.7155845762798698,True,0.6
sim_000306,False,,0.5144237245234597,False,-0.4
sim_000307,False,,0.5837196727731878,True,0.6
sim_000308,False,,0.5793043651862998,True,0.6
sim_000309,False,,0.5055494013873206,False,-0.4
sim_000310,False,,0.6344989532210026,True,0.6
sim_000311,False,,0.6290777841411128,True,0.6
sim_000312,False,,0.6143417351586197,False,-0.4
sim_000313,False,,0.5448269274383392,False,-0.4
sim_000314,False,,0.4979301737904475,False,-0.4
sim_000315,False,,0.5787653544034935,False,-0.4
sim_000316,False,,0.667725069299303,False,-0.4
sim_000317,False,,0.4939523517956346,True,0.6
